City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
411,yurimaguas,-5.9,-76.0833,25.09,94,100,2.06,PE,1707835929
412,sile,41.1754,29.6133,13.37,59,49,1.34,TR,1707835929
413,swakopmund,-22.6833,14.5333,20.32,76,72,7.44,NA,1707835930
414,zabol,32.25,67.25,7.15,35,5,2.42,AF,1707835930
415,semporna,4.4818,118.6112,24.79,86,100,2.35,MY,1707835931
416,moranbah,-22.0016,148.0466,23.47,88,69,5.36,AU,1707835931
417,le port,-20.9373,55.2919,28.98,81,100,1.33,RE,1707835932
418,thung song,8.1645,99.6804,23.96,86,41,2.39,TH,1707835932
419,natitingou,10.3042,1.3796,38.93,6,66,2.75,BJ,1707835933
420,najaf,31.9985,44.3398,21.14,41,98,5.49,IQ,1707835934
421,carauari,-4.8828,-66.8958,26.25,90,100,1.49,BR,1707835934
422,al burayqah,30.4062,19.5739,16.18,65,7,5.74,LY,1707835934
423,quiindy,-25.9667,-57.2667,26.09,90,100,2.73,PY,1707835935
424,cajati,-24.7361,-48.1228,38.63,29,98,3.04,BR,1707835806
425,taulaga,-11.0553,-171.0883,27.17,87,100,12.47,AS,1707835936
426,castelli,-25.9468,-60.6195,23.92,88,100,5.23,AR,1707835936
427,pangoa,-12.1167,-73.0,25.14,86,100,1.53,PE,1707835937
428,mana,5.6592,-53.7767,28.75,73,71,4.73,GF,1707835938
429,sitangkai,4.6628,119.3928,27.24,80,99,7.74,PH,1707835938
430,brisas de zicatela,15.8369,-97.0419,26.99,60,0,1.98,MX,1707835939
431,perambalur,11.2333,78.8833,24.11,83,22,3.82,IN,1707835939
432,bathsheba,13.2167,-59.5167,28.34,78,20,9.26,BB,1707835940
433,raduzhny,62.0961,77.475,-35.87,100,8,2.29,RU,1707835941
434,wynyard,-41.0,145.7167,12.02,74,59,4.75,AU,1707835941
435,gyongyos,47.7826,19.928,9.83,58,91,2.78,HU,1707835942
436,zavety il'icha,49.0294,140.2494,-8.87,97,100,1.17,RU,1707835943
437,cidreira,-30.1811,-50.2056,22.34,98,100,1.87,BR,1707835943
438,fuling,29.7022,107.3919,15.8,71,79,1.7,CN,1707835944
439,litchfield,41.7668,-73.2501,-0.78,95,100,2.68,US,1707835944
440,quellon,-43.1167,-73.6167,16.31,59,99,4.73,CL,1707835945
441,bantogon,6.5333,124.0333,26.26,77,46,1.53,PH,1707835945
442,ulsteinvik,62.3432,5.8487,6.5,61,94,5.16,NO,1707835946
443,antigonish,45.6169,-61.9986,0.08,84,63,3.28,CA,1707835806
444,moose jaw,50.4001,-105.5344,-6.85,86,40,7.72,CA,1707835947
445,el fasher,13.6279,25.3494,34.81,7,51,1.07,SD,1707835948
446,tazacorte,28.629,-17.9293,22.86,76,0,3.6,ES,1707835948
447,siwa oasis,29.2041,25.5195,19.83,27,8,6.34,EG,1707835949
448,sinabang,2.4803,96.3801,27.68,79,12,0.86,ID,1707835950
449,magadan,59.5667,150.8,-26.0,99,78,2.49,RU,1707835950
450,coyhaique,-45.5752,-72.0662,19.34,51,0,4.12,CL,1707835951
451,labuan,5.2767,115.2417,27.2,83,20,4.63,MY,1707835951
452,swift current,50.2834,-107.8014,-11.55,79,0,5.66,CA,1707835952
453,dickinson,29.4608,-95.0513,12.79,84,0,0.45,US,1707835757
454,mariental,-24.6333,17.9667,38.88,11,12,4.67,NA,1707835953
455,kurumkan,54.3,110.3,-17.84,95,100,0.96,RU,1707835953
456,holualoa,19.6228,-155.9522,18.91,66,0,3.09,US,1707835954
457,kulhudhuffushi,6.6221,73.07,28.01,74,47,5.55,MV,1707835954
458,namibe,-15.1961,12.1522,24.97,83,20,4.22,AO,1707835955
459,saki,8.6667,3.3833,38.95,14,0,1.49,NG,1707835955
460,montevideo,-34.8335,-56.1674,20.01,56,75,7.2,UY,1707835956
461,pisco,-13.7,-76.2167,26.03,78,100,2.57,PE,1707835956
462,manaure,11.7751,-72.4445,30.2,58,35,10.36,CO,1707835957
463,progreso,21.2833,-89.6667,24.42,60,82,6.76,MX,1707835957
464,saiha,22.4833,92.9667,14.49,33,38,1.79,IN,1707835958
465,harstad,68.799,16.5293,-2.14,53,100,13.41,NO,1707835958
466,thinadhoo,0.5333,72.9333,27.76,81,99,8.26,MV,1707835959
467,matoury,4.8483,-52.3317,29.98,74,75,5.66,GF,1707835959
468,lospalos,-8.5186,127.0025,23.29,91,100,4.81,TL,1707835959
469,tofol,5.3248,163.0078,27.56,82,100,7.36,FM,1707835960
470,mount pearl,47.5166,-52.7813,-0.02,84,100,6.69,CA,1707835960
471,la grande,45.3246,-118.0877,-2.09,94,35,0.32,US,1707835961
472,umea,63.8284,20.2597,-11.04,79,0,4.63,SE,1707835952
473,saudarkrokur,65.7461,-19.6394,-1.64,95,100,6.51,IS,1707835962
474,gadzhiyevo,69.2551,33.3362,-18.28,98,36,6.07,RU,1707835962
475,aral,40.5156,81.2636,0.8,61,10,5.02,CN,1707835963
476,fayroz koh,34.5195,65.2509,1.25,48,2,1.41,AF,1707835964
477,mazagao,-0.115,-51.2894,24.03,83,99,2.16,BR,1707835964
478,ad dabbah,18.05,30.95,30.86,5,0,2.42,SD,1707835965
479,jabat,7.75,168.9751,27.09,77,100,6.03,MH,1707835965
480,port shepstone,-30.7414,30.455,25.6,76,7,10.07,ZA,1707835966
481,khovd,48.0056,91.6419,-12.14,43,46,0.35,MN,1707835967
482,paka,4.6374,103.4368,25.96,94,41,1.03,MY,1707835967
483,salym,60.0625,71.4789,-18.32,97,100,4.48,RU,1707835968
484,zhezqazghan,47.7833,67.7667,-6.68,93,75,4.0,KZ,1707835968
485,bonthe,7.5264,-12.505,32.14,56,6,5.81,SL,1707835968
486,yelizovo,53.1873,158.3805,-16.78,59,0,3.13,RU,1707835969
487,cacoal,-11.4386,-61.4472,23.04,98,100,1.32,BR,1707835969
488,masuguru,-11.3667,38.4167,25.77,92,98,1.19,TZ,1707835970
489,pont rouge,48.8833,-72.0825,-9.84,82,33,2.54,CA,1707835970
490,arkhangel'sk,64.5401,40.5433,-24.94,83,0,2.0,RU,1707835971
491,vilhena,-12.7406,-60.1458,26.12,78,100,3.09,BR,1707835971
492,barra do corda,-5.5,-45.25,31.93,52,20,3.19,BR,1707835972
493,tralee,52.2704,-9.7026,11.14,93,100,2.57,IE,1707835972
494,bac lieu,9.285,105.7244,26.04,75,1,5.33,VN,1707835973
495,phalodi,27.1333,72.3667,20.06,12,100,4.73,IN,1707835973
496,ennis,52.8436,-8.9864,8.96,93,100,2.06,IE,1707835974
497,kiunga,-6.1219,141.2906,23.88,100,100,0.84,PG,1707835974
498,sarkand,45.41,79.9186,-7.86,60,1,3.9,KZ,1707835975
499,calatayud,41.3535,-1.6432,18.16,58,100,7.16,ES,1707835975
500,bouca,6.5105,18.2733,40.31,9,47,2.88,CF,1707835975
501,kununurra,-15.7667,128.7333,26.99,94,100,1.03,AU,1707835711
502,camocim,-2.9022,-40.8411,27.7,79,100,6.72,BR,1707835976
503,blagoveshchensk,50.2667,127.5333,-9.66,67,40,3.0,RU,1707835977
504,mili,6.0815,171.735,27.71,67,99,7.4,MH,1707835977
505,soio,-6.1349,12.3689,28.72,83,100,4.39,AO,1707835978
506,pokhvistnevo,53.6524,52.1274,-5.32,93,100,4.19,RU,1707835978
